"Activity" "Subject" "MeanX" "MeanY" "MeanZ" "StdX" "StdY" "StdZ"
"LAYING" 1 0.268476537071531 -0.0192388582262661 -0.108344386655365 -0.9645358050701 -0.946721952004292 -0.947347000625751
"LAYING" 2 0.270626882683753 -0.0176863742048615 -0.106093451542317 -0.960741912632242 -0.94150191859068 -0.946319702384131
"LAYING" 3 0.278442559924242 -0.0192175057393939 -0.102550758639394 -0.979375209924242 -0.957891632045455 -0.96546924780303
"LAYING" 4 0.263559214981481 -0.0150031841055556 -0.110688150314815 -0.954193738888889 -0.941714042407407 -0.962667314814815
"LAYING" 5 0.278334325576923 -0.0183042123269231 -0.107937603673077 -0.965934509615385 -0.969295613269231 -0.968562516346154
"LAYING" 6 0.248656520140351 -0.0102529170561404 -0.133119570368421 -0.934049422052632 -0.924644826385965 -0.925216100350877
"LAYING" 7 0.250176694038462 -0.0204411516884615 -0.101361036576923 -0.93651361 -0.926262668653846 -0.952978365961539
"LAYING" 8 0.261254282907407 -0.0212281733881481 -0.102245365611111 -0.94304121537037 -0.93489116 -0.932491454407407
"LAYING" 9 0.2591955368 -0.020526821662 -0.10754972144 -0.94233309 -0.9162927764 -0.9407072854
"SITTING" 1 0.274851805798413 -0.011885770522873 -0.105674738844603 -0.984665198444444 -0.938306489109524 -0.951365639984127
"SITTING" 2 0.274096735812162 -0.0140843293938784 -0.10684472873027 -0.986617434013514 -0.949034841370716 -0.946693733016216
"SITTING" 3 0.263255370179825 -0.00597446772631579 -0.0989874519061403 -0.977869617807018 -0.90080052877193 -0.916195435789474
"SITTING" 4 0.27153827992 -0.007163065158 -0.10587459588 -0.980309931 -0.89022398108 -0.9322030066
"SITTING" 5 0.273694139545455 -0.00990083527045455 -0.108540300265909 -0.980945022045455 -0.904335121022727 -0.926094740227273
"SITTING" 6 0.276778487454545 -0.0145911615290909 -0.110127728709091 -0.980164933636364 -0.923682131090909 -0.925797097090909
"SITTING" 7 0.284674637291667 -0.01461097580375 -0.122464597625 -0.972668374583333 -0.909454698541667 -0.8565329414375
"SITTING" 8 0.267491472934783 -0.00672550621304348 -0.104461049130435 -0.979026152391304 -0.927331997021739 -0.939553030217391
"SITTING" 9 0.24832674354 -0.02701677698 -0.07537846886 -0.9572277914 -0.875141405 -0.83200187268
"STANDING" 1 0.278882600384047 -0.0165639482137666 -0.107895584906219 -0.988010737119645 -0.948167787119645 -0.955116445254062
"STANDING" 2 0.278594557601523 -0.0168301845436777 -0.107471757321079 -0.985641358477157 -0.93530970142132 -0.943850532982234
"STANDING" 3 0.278604054666667 -0.0156546993666667 -0.10512951217435 -0.97206084425 -0.892566873666667 -0.912122876166667
"STANDING" 4 0.280499745892857 -0.00948911098553571 -0.0961574905535714 -0.97692058 -0.86159737875 -0.896880538392857
"STANDING" 5 0.282544390892857 -0.00700418554517857 -0.102171095696429 -0.968591815714286 -0.869439913392857 -0.869327321785714
"STANDING" 6 0.280346248596491 -0.0181236327175439 -0.112172831947368 -0.981758159649123 -0.921493191754386 -0.925692371929825
"STANDING" 7 0.282723539433962 -0.0145740341037736 -0.0997778303207547 -0.979307570377358 -0.923400921886792 -0.917064168490566
"STANDING" 8 0.279620986111111 -0.0148113067148148 -0.106114996837037 -0.988815418148148 -0.938479429074074 -0.926065255185185
